filename,publication_date,download_time,primary_topic_id,primary_topic_name
W4391602018.pdf,2024-02-07,2025-08-16T08:53:37.598320,https://openalex.org/T12814,Gaussian Processes and Bayesian Inference
W4399083018.pdf,2024-05-28,2025-08-16T08:53:38.243672,https://openalex.org/T13702,Machine Learning in Healthcare
W1767339332.pdf,2024-06-13,2025-08-16T08:53:40.205283,,
W4393065402.pdf,2024-03-22,2025-08-16T08:53:44.970898,https://openalex.org/T10462,Reinforcement Learning in Robotics
W4393148714.pdf,2024-03-24,2025-08-16T08:53:55.062500,https://openalex.org/T10181,Natural Language Processing Techniques
W4391876619.pdf,2024-01-01,2025-08-16T08:53:55.365819,https://openalex.org/T10028,Topic Modeling
W4390976747.pdf,2024-01-18,2025-08-16T08:53:56.527240,https://openalex.org/T10299,Photonic and Optical Devices
W4391836235.pdf,2024-02-15,2025-08-16T08:53:58.871824,https://openalex.org/T11948,Machine Learning in Materials Science
W4391135337.pdf,2024-01-23,2025-08-16T08:53:59.826402,https://openalex.org/T12443,Delphi Technique in Research
W4392298212.pdf,2024-02-29,2025-08-16T08:54:02.467445,https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research
W4393115836.pdf,2024-03-23,2025-08-16T08:54:08.130417,https://openalex.org/T12719,Aerospace Engineering and Energy Systems
W4391221150.pdf,2024-01-25,2025-08-16T08:54:09.756019,https://openalex.org/T10028,Topic Modeling
W4392783116.pdf,2024-02-16,2025-08-16T08:54:11.495117,https://openalex.org/T10883,Ethics and Social Impacts of AI
W4403853345.pdf,2024-10-29,2025-08-16T08:54:15.303577,https://openalex.org/T13734,Advanced Computational Techniques and Applications
W4391971084.pdf,2024-02-20,2025-08-16T08:54:16.191018,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4392599656.pdf,2024-03-08,2025-08-16T08:54:18.836302,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4395046137.pdf,2024-04-23,2025-08-16T08:54:21.867280,https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research
W4398164319.pdf,2024-05-21,2025-08-16T08:54:24.905028,https://openalex.org/T10663,Advanced Battery Technologies Research
W4399567248.pdf,2024-06-12,2025-08-16T08:54:28.096669,https://openalex.org/T10862,AI in cancer detection
W2962986039.pdf,2024-01-10,2025-08-16T08:54:28.422019,https://openalex.org/T11424,Security and Verification in Computing
W4390588537.pdf,2024-01-04,2025-08-16T08:54:31.519575,https://openalex.org/T11438,Retinal Imaging and Analysis
W4390509775.pdf,2024-01-01,2025-08-16T08:54:34.234739,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4390940890.pdf,2024-01-17,2025-08-16T08:54:36.124630,https://openalex.org/T10200,Rheumatoid Arthritis Research and Therapies
W4391469183.pdf,2024-02-01,2025-08-16T08:54:43.288797,https://openalex.org/T10095,Cosmology and Gravitation Theories
W4392872715.pdf,2024-03-15,2025-08-16T08:54:46.134010,https://openalex.org/T10111,Remote Sensing in Agriculture
W4392932744.pdf,2024-03-18,2025-08-16T08:54:47.946718,https://openalex.org/T12026,Explainable Artificial Intelligence (XAI)
W4393149408.pdf,2024-03-25,2025-08-16T08:54:49.781359,https://openalex.org/T12805,Cognitive Science and Mapping
W4391169929.pdf,2024-01-24,2025-08-16T08:54:53.789644,https://openalex.org/T11148,Language, Metaphor, and Cognition
W4391170193.pdf,2024-01-24,2025-08-16T08:54:55.083517,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4390828922.pdf,2024-01-01,2025-08-16T08:55:00.209278,https://openalex.org/T10764,Privacy-Preserving Technologies in Data
W4392193191.pdf,2024-02-27,2025-08-16T08:55:00.764042,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4399154429.pdf,2024-01-01,2025-08-16T08:55:01.311130,https://openalex.org/T10689,Remote-Sensing Image Classification
W4391379655.pdf,2024-01-31,2025-08-16T08:55:03.116133,https://openalex.org/T10044,Protein Structure and Dynamics
W4390508827.pdf,2024-01-02,2025-08-16T08:55:15.438978,https://openalex.org/T11737,Advanced Materials and Mechanics
W4393147129.pdf,2024-03-24,2025-08-16T08:55:17.139870,https://openalex.org/T10028,Topic Modeling
W4392767952.pdf,2024-03-13,2025-08-16T08:55:19.954815,https://openalex.org/T11122,Online Learning and Analytics
W4391403616.pdf,2024-01-31,2025-08-16T08:55:21.051347,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4392091326.pdf,2024-02-21,2025-08-16T08:55:22.206725,https://openalex.org/T11103,Antimicrobial Peptides and Activities
W4392732989.pdf,2024-02-08,2025-08-16T08:55:24.039935,https://openalex.org/T11492,Academic integrity and plagiarism
W4393182100.pdf,2024-03-26,2025-08-16T08:55:25.829662,https://openalex.org/T10057,Face and Expression Recognition
W4400118952.pdf,2024-06-28,2025-08-16T08:55:28.101225,https://openalex.org/T10028,Topic Modeling
W4390940921.pdf,2024-01-17,2025-08-16T08:55:31.761190,https://openalex.org/T10126,Logic, programming, and type systems
W4391105305.pdf,2024-01-20,2025-08-16T08:55:32.177154,https://openalex.org/T12028,Knowledge Management and Sharing
W4394625793.pdf,2024-01-03,2025-08-16T08:55:35.981915,https://openalex.org/T11512,Anomaly Detection Techniques and Applications
W4391755293.pdf,2024-02-12,2025-08-16T08:55:36.886355,https://openalex.org/T12338,Digital literacy in education
W4391968719.pdf,2024-02-20,2025-08-16T08:55:38.220643,https://openalex.org/T12120,Air Quality Monitoring and Forecasting
W4401386967.pdf,2024-08-07,2025-08-16T08:55:39.076778,https://openalex.org/T10036,Advanced Neural Network Applications
W4402474910.pdf,2024-09-12,2025-08-16T08:55:42.002599,https://openalex.org/T11147,Misinformation and Its Impacts
W4391601083.pdf,2024-02-07,2025-08-16T08:55:43.743799,https://openalex.org/T11437,Digital Platforms and Economics
W4390705951.pdf,2024-01-10,2025-08-16T08:55:49.263907,https://openalex.org/T10751,Forensic and Genetic Research
W4401042286.pdf,2024-01-01,2025-08-16T08:55:49.530485,https://openalex.org/T10028,Topic Modeling
W4390588003.pdf,2024-01-04,2025-08-16T08:55:51.408587,https://openalex.org/T10261,Genetic Associations and Epidemiology
W4391243055.pdf,2024-01-25,2025-08-16T08:55:53.668191,https://openalex.org/T10682,Quantum Computing Algorithms and Architecture
W2948432982.pdf,2024-01-05,2025-08-16T08:55:54.024312,https://openalex.org/T12101,Advanced Bandit Algorithms Research
W4394676676.pdf,2024-01-01,2025-08-16T08:55:58.877023,https://openalex.org/T11775,COVID-19 diagnosis using AI
W4398238760.pdf,2024-01-01,2025-08-16T08:55:59.733789,https://openalex.org/T11206,Model Reduction and Neural Networks
W4392198237.pdf,2024-02-27,2025-08-16T08:56:02.830986,https://openalex.org/T11289,Single-cell and spatial transcriptomics
W4395012011.pdf,2024-04-22,2025-08-16T08:56:04.394516,https://openalex.org/T11963,Impact of Light on Environment and Health
W4391153697.pdf,2024-01-23,2025-08-16T08:56:05.579376,https://openalex.org/T10154,Customer Service Quality and Loyalty
W4396781199.pdf,2024-05-09,2025-08-16T08:56:06.972712,https://openalex.org/T13910,Computational and Text Analysis Methods
W4399543291.pdf,2024-06-11,2025-08-16T08:56:08.284767,https://openalex.org/T10857,Advanced Electron Microscopy Techniques and Applications
W4401171937.pdf,2024-07-31,2025-08-16T08:56:09.226540,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4396623743.pdf,2024-05-03,2025-08-16T08:56:14.162716,https://openalex.org/T10586,Robotic Path Planning Algorithms
W4398203672.pdf,2024-05-22,2025-08-16T08:56:18.647142,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4390754450.pdf,2024-01-11,2025-08-16T08:56:19.891287,https://openalex.org/T11407,Innovative Microfluidic and Catalytic Techniques Innovation
W4391383756.pdf,2024-01-31,2025-08-16T08:56:21.572800,https://openalex.org/T10338,Advanced Sensor and Energy Harvesting Materials
W4391683511.pdf,2024-02-09,2025-08-16T08:56:23.075143,https://openalex.org/T10338,Advanced Sensor and Energy Harvesting Materials
W4390884326.pdf,2024-01-15,2025-08-16T08:56:25.521484,https://openalex.org/T11408,Advanced Optical Imaging Technologies
W4391256306.pdf,2024-01-26,2025-08-16T08:56:26.354678,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4396696202.pdf,2024-05-07,2025-08-16T08:56:31.460592,https://openalex.org/T11943,Pharmacovigilance and Adverse Drug Reactions
W4390820601.pdf,2024-01-12,2025-08-16T08:56:33.674008,https://openalex.org/T11122,Online Learning and Analytics
W4391750982.pdf,2024-02-12,2025-08-16T08:56:34.972007,https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research
W4390590100.pdf,2024-01-04,2025-08-16T08:56:39.501868,https://openalex.org/T10338,Advanced Sensor and Energy Harvesting Materials
W4391971011.pdf,2024-02-16,2025-08-16T08:57:45.729659,https://openalex.org/T10763,Digital Transformation in Industry
W4392517776.pdf,2024-03-06,2025-08-16T08:57:47.013908,https://openalex.org/T10988,Advanced Fiber Laser Technologies
W4400810536.pdf,2024-01-01,2025-08-16T08:57:50.992112,https://openalex.org/T12026,Explainable Artificial Intelligence (XAI)
W4393004135.pdf,2024-03-20,2025-08-16T08:57:55.291208,https://openalex.org/T11289,Single-cell and spatial transcriptomics
W4392698044.pdf,2024-03-12,2025-08-16T08:58:01.738781,https://openalex.org/T10863,Voice and Speech Disorders
W4396946012.pdf,2024-05-16,2025-08-16T08:58:03.888108,https://openalex.org/T10168,COVID-19 and Mental Health
W4399361649.pdf,2024-06-05,2025-08-16T08:58:07.216463,https://openalex.org/T10338,Advanced Sensor and Energy Harvesting Materials
W4400525811.pdf,2024-07-10,2025-08-16T08:58:10.885336,https://openalex.org/T10181,Natural Language Processing Techniques
W4391541001.pdf,2024-02-05,2025-08-16T08:58:14.119829,https://openalex.org/T10648,Virtual Reality Applications and Impacts
W4391807372.pdf,2024-02-14,2025-08-16T08:58:14.705124,https://openalex.org/T11486,Micro and Nano Robotics
W4392251648.pdf,2024-02-28,2025-08-16T08:58:15.049380,https://openalex.org/T11307,Domain Adaptation and Few-Shot Learning
W4393397025.pdf,2024-04-02,2025-08-16T08:58:17.188977,https://openalex.org/T10211,Computational Drug Discovery Methods
W4396708270.pdf,2024-05-01,2025-08-16T08:58:21.835993,https://openalex.org/T10663,Advanced Battery Technologies Research
W4390907087.pdf,2024-01-01,2025-08-16T08:58:23.157374,https://openalex.org/T10883,Ethics and Social Impacts of AI
W4394625750.pdf,2024-01-03,2025-08-16T08:58:28.067076,https://openalex.org/T11687,Teleoperation and Haptic Systems
W4397040068.pdf,2024-05-18,2025-08-16T08:58:29.150958,https://openalex.org/T11608,Dielectric materials and actuators
W4399570217.pdf,2024-06-01,2025-08-16T08:58:31.003855,https://openalex.org/T13248,Healthcare Technology and Patient Monitoring
W4393072609.pdf,2024-03-22,2025-08-16T09:00:42.150817,https://openalex.org/T10555,Fire effects on ecosystems
W4394862732.pdf,2024-01-01,2025-08-16T09:00:42.574395,https://openalex.org/T10181,Natural Language Processing Techniques
W4395676198.pdf,2024-04-26,2025-08-16T09:00:43.192762,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4398766373.pdf,2024-05-24,2025-08-16T09:00:44.109447,https://openalex.org/T10124,Prostate Cancer Diagnosis and Treatment
W4402565126.pdf,2024-09-01,2025-08-16T09:00:44.457595,https://openalex.org/T11454,Cultural Differences and Values
W4390665705.pdf,2024-01-08,2025-08-16T09:00:45.164149,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4390955912.pdf,2024-01-01,2025-08-16T09:00:46.050335,https://openalex.org/T10247,Perovskite Materials and Applications
W4391031493.pdf,2024-01-19,2025-08-16T09:00:48.605440,https://openalex.org/T11047,Gender Diversity and Inequality
W4392542324.pdf,2024-03-07,2025-08-16T09:00:48.896784,https://openalex.org/T11122,Online Learning and Analytics
W4400721462.pdf,2024-07-17,2025-08-16T09:00:50.326827,https://openalex.org/T14406,Multidisciplinary Science and Engineering Research
W4401698608.pdf,2024-08-19,2025-08-16T09:00:51.729973,https://openalex.org/T10223,Microgrid Control and Optimization
W4390669311.pdf,2024-01-08,2025-08-16T09:00:53.257543,https://openalex.org/T11289,Single-cell and spatial transcriptomics
W4390863507.pdf,2024-01-15,2025-08-16T09:00:55.782380,https://openalex.org/T11516,Visual and Cognitive Learning Processes
W4391881477.pdf,2024-02-16,2025-08-16T09:00:57.135895,https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research
W4391965576.pdf,2024-02-20,2025-08-16T09:00:57.905673,https://openalex.org/T14350,Innovation, Sustainability, Human-Machine Systems
W4393181728.pdf,2024-03-26,2025-08-16T09:01:00.191233,https://openalex.org/T10211,Computational Drug Discovery Methods
W4401379837.pdf,2024-08-06,2025-08-16T09:01:04.386553,https://openalex.org/T10533,Teaching and Learning Programming
W4390584313.pdf,2024-01-04,2025-08-16T09:01:05.889407,https://openalex.org/T12207,Assistive Technology in Communication and Mobility
W4390672571.pdf,2024-01-08,2025-08-16T09:01:07.469648,https://openalex.org/T11122,Online Learning and Analytics
W4393131673.pdf,2024-03-24,2025-08-16T09:01:10.368269,https://openalex.org/T10880,Environmental Sustainability in Business
W4394769544.pdf,2024-04-12,2025-08-16T09:01:11.429513,https://openalex.org/T10743,Software Testing and Debugging Techniques
W4396230265.pdf,2024-04-29,2025-08-16T09:01:12.365282,https://openalex.org/T10463,Pulsars and Gravitational Waves Research
