concept_id,concept_name,works_count,total_works,pct_of_all,mode,threshold
https://openalex.org/C154945302,Artificial intelligence,63202,63202,100.00,any,0.4
https://openalex.org/C41008148,Computer science,60649,63202,95.96,any,0.4
https://openalex.org/C204321447,Natural language processing,16982,63202,26.87,any,0.4
https://openalex.org/C119857082,Machine learning,14559,63202,23.04,any,0.4
https://openalex.org/C153180895,Pattern recognition (psychology),10114,63202,16.00,any,0.4
https://openalex.org/C31972630,Computer vision,8078,63202,12.78,any,0.4
https://openalex.org/C108583219,Deep learning,7763,63202,12.28,any,0.4
https://openalex.org/C50644808,Artificial neural network,6449,63202,10.20,any,0.4
https://openalex.org/C2776401178,Feature (linguistics),5578,63202,8.83,any,0.4
https://openalex.org/C2780451532,Task (project management),5463,63202,8.64,any,0.4
https://openalex.org/C81363708,Convolutional neural network,5366,63202,8.49,any,0.4
https://openalex.org/C89600930,Segmentation,4310,63202,6.82,any,0.4
https://openalex.org/C203005215,Machine translation,4141,63202,6.55,any,0.4
https://openalex.org/C90805587,Word (group theory),3265,63202,5.17,any,0.4
https://openalex.org/C2779343474,Context (archaeology),3133,63202,4.96,any,0.4
https://openalex.org/C149364088,Translation (biology),3083,63202,4.88,any,0.4
https://openalex.org/C177264268,Set (abstract data type),2844,63202,4.50,any,0.4
https://openalex.org/C98045186,Process (computing),2840,63202,4.49,any,0.4
https://openalex.org/C41895202,Linguistics,2705,63202,4.28,any,0.4
https://openalex.org/C28490314,Speech recognition,2700,63202,4.27,any,0.4
https://openalex.org/C124101348,Data mining,2618,63202,4.14,any,0.4
https://openalex.org/C186644900,Parsing,2568,63202,4.06,any,0.4
https://openalex.org/C12267149,Support vector machine,2553,63202,4.04,any,0.4
https://openalex.org/C66322947,Transformer,2550,63202,4.03,any,0.4
https://openalex.org/C185798385,Benchmark (surveying),2461,63202,3.89,any,0.4
https://openalex.org/C52622490,Feature extraction,2432,63202,3.85,any,0.4
https://openalex.org/C2777530160,Sentence,2399,63202,3.80,any,0.4
https://openalex.org/C11413529,Algorithm,2349,63202,3.72,any,0.4
https://openalex.org/C115961682,Image (mathematics),2344,63202,3.71,any,0.4
https://openalex.org/C2776359362,Representation (politics),2276,63202,3.60,any,0.4
https://openalex.org/C63479239,Robustness (evolution),2219,63202,3.51,any,0.4
https://openalex.org/C169258074,Random forest,2057,63202,3.25,any,0.4
https://openalex.org/C132525143,Graph,2014,63202,3.19,any,0.4
https://openalex.org/C36503486,Domain (mathematical analysis),2005,63202,3.17,any,0.4
https://openalex.org/C95623464,Classifier (UML),1983,63202,3.14,any,0.4
https://openalex.org/C137293760,Language model,1905,63202,3.01,any,0.4
https://openalex.org/C2776214188,Inference,1900,63202,3.01,any,0.4
https://openalex.org/C9652623,Field (mathematics),1812,63202,2.87,any,0.4
https://openalex.org/C116834253,Identification (biology),1811,63202,2.87,any,0.4
https://openalex.org/C71924100,Medicine,1726,63202,2.73,any,0.4
https://openalex.org/C2781238097,Object (grammar),1640,63202,2.59,any,0.4
